created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 15 11:17:26 +0000 2023;1713514412605419578;"tanganku kecabean gara² makan ayam geprek sambel setan😭, gak nyesal sih soalnya enak hhe... https://t.co/NjoHaSVNTn";0;0;0;1;in;1276313720893784064;1713514412605419578;mulyarmadnii;https://twitter.com/mulyarmadnii/status/1713514412605419578
Sun Oct 15 11:17:21 +0000 2023;1713514392804090146;"@dijual100juta Nggak mau seratus, maunya ayam geprek...";0;0;0;0;in;1605049176471265282;1713460754681340248;sunstrucker;https://twitter.com/sunstrucker/status/1713514392804090146
Sun Oct 15 11:16:58 +0000 2023;1713514296888770676;"@tanyakanrl AYAM GEPREK";0;0;0;0;in;1522248072134205444;1713440837970059276;Srreessss;https://twitter.com/Srreessss/status/1713514296888770676
Sun Oct 15 11:16:13 +0000 2023;1713514108807680045;"@kdrama_menfess Ini nder https://t.co/q1a430YGmv";0;0;0;0;tr;3196411004;1713460428129660928;hypeeeabis__;https://twitter.com/hypeeeabis__/status/1713514108807680045
Sun Oct 15 11:16:10 +0000 2023;1713514094303850830;"@cutieenayy ayam geprek wkwk";0;0;0;0;in;896672107022528513;1713513974699057360;oovrxx;https://twitter.com/oovrxx/status/1713514094303850830
Sun Oct 15 11:15:35 +0000 2023;1713513947020841003;"@salmvkbng lagi sama aya makan ayam geprek";0;1;0;0;in;1565641782590709760;1713513134252859639;pxvvar;https://twitter.com/pxvvar/status/1713513947020841003
Sun Oct 15 11:15:33 +0000 2023;1713513941018808333;"@akhadam77 Pindah yuk ke ayam geprek mama rasya";0;0;0;0;in;2989130242;1713413076626939947;BobotohTgl;https://twitter.com/BobotohTgl/status/1713513941018808333
Sun Oct 15 11:13:49 +0000 2023;1713513505847177618;"@areethds ngebayangin di paris dia makan ayam geprek";0;0;0;0;in;1553442926717710336;1713499865999970413;yedamdaughter;https://twitter.com/yedamdaughter/status/1713513505847177618
Sun Oct 15 11:12:57 +0000 2023;1713513285830762754;"paling sering mam nasi lauk ayam entah ayam geprek, penyet, goreng dsb  Arghhhhh capek bangettt";0;0;0;0;in;1600021096379867141;1713513285830762754;gakktauu__;https://twitter.com/gakktauu__/status/1713513285830762754
Sun Oct 15 11:10:20 +0000 2023;1713512628826554667;"Kok di mcd gada menu ayam geprek ya";0;0;0;0;in;1687807620130959361;1713512628826554667;icarusfallsses;https://twitter.com/icarusfallsses/status/1713512628826554667
Sun Oct 15 11:09:45 +0000 2023;1713512478976741534;"Bm ayam geprek anjir";0;0;0;0;in;1687807620130959361;1713512478976741534;icarusfallsses;https://twitter.com/icarusfallsses/status/1713512478976741534
Sun Oct 15 11:06:55 +0000 2023;1713511766184042866;"@i_m_mortal_ baru ikutann krna baruu tau mau beli apaa hehe alhamdulillah ga ghoib ternyata https://t.co/BE5oicDgvK";0;0;0;0;in;1259346091;1713510168879870287;Doakanjadikaya;https://twitter.com/Doakanjadikaya/status/1713511766184042866
Sun Oct 15 11:02:00 +0000 2023;1713510530714149302;"@misscampbellz ayam geprek";0;1;0;0;in;1207934630487187458;1713497879426552037;itsdeemyeente;https://twitter.com/itsdeemyeente/status/1713510530714149302
Sun Oct 15 10:59:26 +0000 2023;1713509884627726387;"info ayam geprek enak 😫";0;0;0;0;in;882182514311282688;1713509884627726387;simp4yoshii;https://twitter.com/simp4yoshii/status/1713509884627726387
Sun Oct 15 10:59:12 +0000 2023;1713509826586964003;"kalo aku sih langsung kabur lari kalo ditatap kaya gini";0;0;0;0;in;1365875613026820097;1713509824653328755;ayamgeprek71;https://twitter.com/ayamgeprek71/status/1713509826586964003
